,Parks and Recreation Facilities,Facility Type,geometry
105,Manzanita,Recreation Center,POINT (-122.2276548677297 37.79419966999802)
106,Hardy Dog Play Area,Dog Play Area,POINT (-122.2571872105397 37.84202012861456)
107,Montclair Park,Park,POINT (-122.2124344329921 37.828526809031)
108,Lincoln Square Park,Park,POINT (-122.2680078742939 37.80043463426119)
109,Grove Shafter Dog Play Area,Dog Play Area,POINT (-122.2730199996731 37.80505999961946)
110,Sheffield Village,Recreation Center,POINT (-122.135060671593 37.73513219911359)
111,Marston Campbell Park,Park,POINT (-122.2730199996731 37.80505999961946)
112,Central Reservoir Park,Park,POINT (-122.2225592463895 37.79534173771236)
113,Manzanita Park,Park,POINT (-122.2276548677297 37.79419966999802)
114,Poplar,Athletic Field,POINT (-122.2835117589695 37.82337367662853)
115,Arroyo Viejo Park,Park,POINT (-122.1761956612131 37.76263346676961)
116,Bella Vista Park,Park,POINT (-122.2371337219185 37.80036002589873)
117,Otis Spunkmeyer Field,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
118,Garfield,Athletic Field,POINT (-122.2730199996731 37.80505999961946)
119,Arroyo Viejo Park,Community Gardens,POINT (-122.2730199996731 37.80505999961946)
120, ,,POINT (nan nan)
121,Columbian Gardens Park,Park,POINT (-122.1890860650594 37.7291602543544)
122,Bushrod,Recreation Center,POINT (-122.2634707076902 37.84481782053176)
123,Knowland Park,Park,POINT (-122.150326269892 37.75333594728092)
124,Colby Park,Park,POINT (-122.2730199996731 37.80505999961946)
125,Ostrander Park,Park,POINT (-122.2325823355671 37.84264760593298)
126,Wade Johnson Park,Park,POINT (-122.2905374716442 37.80943614340091)
127,Eastshore Park,Park,POINT (-122.2730199996731 37.80505999961946)
128,South Prescott Park,Park,POINT (-122.2730199996731 37.80505999961946)
129,Oak Port,Athletic Field,POINT (-122.2108709112516 37.75319901662205)
130,Foothill Meadows Extension,Park,POINT (-122.217630630082 37.77979197643333)
131,Foothill Meadows Extension,Park,POINT (-122.2185643053188 37.7764690733486)
132,San Antonio,Tennis Court,POINT (-122.239886076883 37.79098163292826)
133,Golden Gate Park ,Park,POINT (-122.2730199996731 37.80505999961946)
134,Leona Lodge,Rental Facility,POINT (-122.226770902824 37.84602973944953)
135,Rancho Peralta Park,Park,POINT (-122.262308916702 37.79746719756953)
136,FM Smith Park,Park,POINT (-122.2487898206781 37.80037428039416)
137,Lions Pool,Pools,POINT (-122.2144166908494 37.80708298407534)
138,"Arroyo Viejo, Lucky A's",Tennis Court,POINT (-122.1738697850346 37.76125655356008)
139,Grove Shafter Park,Park,POINT (-122.2730199996731 37.80505999961946)
